,SMA,EMA,BBAND_Upper,BBAND_Middle,BBAND_Lower,HT_TRENDLINE,SAR,RSI,MOM,ROC,ROCP,OBV,AD,HT_DCPERIOD,HT_TRENDMODE,AVGPRICE,TYPPRICE,ATR,BETA,LINEARREG,VAR,EXP,LN,CDLBREAKAWAY,CDLDOJI,CDLHAMMER,CDLHANGINGMAN
SMA,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
EMA,0.9903032317312974,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BBAND_Upper,0.9307603556794014,0.9240560666124911,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BBAND_Middle,1.0,0.9903032317312974,0.9307603556794014,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BBAND_Lower,0.9372507516786227,0.9268745236719703,0.7658621816987942,0.9372507516786227,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
HT_TRENDLINE,0.6386086773315836,0.6436900808913021,0.6106837064758855,0.6386086773315836,0.5967536431365944,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SAR,-0.5828840760856765,-0.5909810130060188,-0.5608228468926166,-0.5828840760856765,-0.5491945713899845,-0.6018886704499381,0.9473684210526315,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RSI,0.10520462860732105,0.1662194855194141,0.09403147381454185,0.10520462860732105,0.1012860852194752,-0.2383579961723707,0.025901529736799107,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MOM,-0.015816038385713434,0.05972807931158897,-0.009463038795118473,-0.015816038385713434,-0.02278874754681129,-0.1974123757693476,0.06610683267625161,0.7593875606926608,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ROC,0.056527788110300486,0.10233218922335378,0.0569274302790468,0.056527788110300486,0.04486648105960849,-0.20578373009384557,0.050708216144222044,0.7718746669392541,0.8648208244818268,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ROCP,0.05652778811030048,0.10233218922335378,0.05692743027904677,0.05652778811030048,0.04486648105960847,-0.20578373009384548,0.05070821614422213,0.7718746669392541,0.8648208244818268,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
OBV,0.6837358277387203,0.7064294823631614,0.6519305454632943,0.6837358277387203,0.6426791160572948,0.38927778244749045,-0.4810566640570983,0.3395388360404766,0.23680427375556656,0.2581739723332972,0.2581739723332972,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AD,0.5432258650100078,0.5589624843108425,0.5253085473322529,0.5432258650100078,0.5065441367288942,0.31529756964662264,-0.3163074092982322,0.24021344416901327,0.16839103300587635,0.18419673905921213,0.18419673905921213,0.5387741854270007,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
HT_DCPERIOD,0.046624936222019214,0.044875822120575524,0.050819866068565346,0.046624936222019214,0.03539642769100343,-0.02770064010278117,0.05901596927207483,-0.018766267126544046,-0.014329995647663626,-0.018174673909471167,-0.01817467390947114,0.042670396485881064,0.05066219830020753,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
HT_TRENDMODE,0.026545360977101907,0.024903847499523773,0.0542399924627517,0.026545360977101907,0.0038332054946877583,-0.051076844286653066,-0.059997972828891764,0.053260846869340565,0.024483584510050827,0.028344443119479385,0.028344443119479368,0.058330863111720706,0.03999001879721668,0.06490506821122746,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AVGPRICE,0.9258623703501123,0.9542128500067139,0.8708773690551218,0.9258623703501123,0.8696207035376541,0.534762568139813,-0.53601923270502,0.35989549283703015,0.258275702995127,0.29356502647101396,0.2935650264710138,0.7350028065903333,0.5651549490346476,0.036685073006347026,0.030156581257675695,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
TYPPRICE,0.9178634920180391,0.9489259202672762,0.8639642491021096,0.9178634920180391,0.862438749319042,0.5266305221387199,-0.5333967202500108,0.3852649464142608,0.2772461928175006,0.310023268821462,0.31002326882146186,0.7399338198039513,0.5708107955257004,0.036369201670273764,0.031173447446730757,0.9974181026984482,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ATR,-0.06666572875235881,-0.06761998004798447,0.12170929382258916,-0.06666572875235881,-0.23660125575072563,0.03029598050740316,-0.021391767192897888,-0.09614774606778269,-0.06376850521118554,-0.0728381793845315,-0.0728381793845315,-0.04139783510306936,-0.03976020904030432,0.04201071303611254,0.06700618487072614,-0.0789437050052901,-0.0793038580548049,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BETA,-0.0002549642997970535,-0.007796674110965432,0.015102400597591156,-0.0002549642997970535,-0.017257947269469463,0.02191556344371002,-0.004750944941494287,-0.08298273565853925,-0.08433504133629946,-0.08940988918472681,-0.0894098891847268,-0.014094522189086502,-0.01868180428945395,0.005660598085022039,-0.024358179247341634,-0.02311012868654196,-0.02829215787911357,0.04929047743702995,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
LINEARREG,0.916457231619898,0.9450850926478956,0.8641782778271494,0.916457231619898,0.8623408899160795,0.5131012321995534,-0.525671461327271,0.3819047569526103,0.3093632079326359,0.33406790970589517,0.33406790970589517,0.7310427231755608,0.572753082793262,0.03551273713506697,0.0327365645704754,0.9843078406637847,0.9839758364146062,-0.08282736538869621,-0.026843691646787734,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
VAR,-0.042876505172543974,-0.03983911843346866,0.2475665471163124,-0.042876505172543974,-0.3155297962961041,0.0012557439797951148,-0.008947340396526341,-0.006631641382612378,0.03154237586831057,0.0274088563537971,0.027408856353797084,-0.011764691117014767,-0.0018672163676931627,0.008582743002708029,0.07120797319056478,-0.035987817307897574,-0.035208229200650594,0.5671196425011444,0.03246210238984339,-0.03451603437992809,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
EXP,0.652888069813655,0.6822662109625492,0.6318281669826213,0.652888069813655,0.5929842315283944,0.37545288746415284,-0.39785589579256725,0.35855076041789846,0.25683504423505954,0.27649271212018744,0.2764927121201874,0.5491653824430273,0.4264910582385624,0.03879296280246534,0.04301187956457029,0.7227434209549937,0.7301102345041911,-0.05624218420907721,-0.019025105325026694,0.717427301804512,0.00718455039136451,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
LN,0.8955139493536995,0.9306767412797767,0.8433978613521179,0.8955139493536995,0.842737802099964,0.5065046245267663,-0.5211378967436672,0.43234249804325775,0.311940899993678,0.33883175698040385,0.3388317569804039,0.7439952669962234,0.5856404420300033,0.03487284952130659,0.03478958316205829,0.9792152826332636,0.9876155800231062,-0.07646146339403254,-0.03468726365333891,0.9751713247132845,-0.03413711241974082,0.7253285885048333,1.0,-1.0,-1.0,-1.0,-1.0
CDLBREAKAWAY,-0.014215071431297951,-0.009964288652268463,-0.012815777425770723,-0.014215071431297951,-0.012306141216341077,0.008163081980980928,0.005298818347732554,0.008909684063310648,-0.0050311316320508885,-0.020613921470632703,-0.02061392147063269,-0.0054615945866563,0.0035859213185353927,-0.020371747753575267,-0.00283054383650823,-0.012111097163623664,-0.008525233428635476,-0.01331720801753394,-0.01681091063874832,-0.015816245056575917,0.005048862636584596,0.0018195829578043514,-0.002019763807354755,0.2631578947368421,-1.0,-1.0,-1.0
CDLDOJI,0.002810736906325688,0.004004779025205044,-0.01787495965255928,0.002810736906325688,0.02331339502962949,-0.008219022603211014,0.026040255971267422,0.008358731908708141,0.0009384291979687399,0.0034479113678810343,0.0034479113678810304,0.006815444182864919,0.0012702370147352007,0.0020214943065727567,0.01120605624340605,0.00599956265871862,0.006138440533158668,-0.08726247001129489,-0.0062666213366790536,0.00539684370611097,-0.05375449881292291,0.0005532990877522263,0.004987008753575544,0.005783536195094317,1.0,-1.0,-1.0
CDLHAMMER,0.006524322734418756,-0.001807719511123057,-0.006389013460212099,0.006524322734418756,0.01755980126581729,0.0047507480801784316,-0.02194226967939749,-0.0753203211623544,-0.047475107294670964,-0.03264624392256852,-0.03264624392256852,-0.028626125134293377,0.010180262156960483,0.0067202060224756,0.00521954270275233,-0.03252949649433993,-0.036423404757797505,-0.02220209801069187,0.013514210269698214,-0.013890591690411685,-0.029643908955467896,-0.022178051244524568,-0.024844011313101128,0.0014406635538420983,0.0030575036835787644,1.0,-1.0
CDLHANGINGMAN,0.02075340738939852,0.011080717612337662,0.019954154067382584,0.02075340738939852,0.017185316934127802,0.019238893067964252,-0.02934956182498356,-0.10970496369437521,-0.08269576341246934,-0.07137156177130213,-0.07137156177130215,-0.026305865760436607,-0.02992214595339673,-0.0004987510131010845,-0.004800540444168334,-0.014909482381642473,-0.012705412927958288,0.0314775798688953,-0.003145079709585363,-0.013456768418211225,0.004277313729598021,-0.0261346281293609,-0.02592408528642094,-0.002648283825325665,-0.06411749846826578,0.022031352998047544,0.9736842105263158
